i,t,Sg,Se,Pop,Sg_pc,Se_pc
21,2013,803208.64,26444.72,6794301,0.11821799475766528,0.0038921914115962776
21,2014,887026.28,42643.3,6850884,0.12947617854863694,0.0062244959920500775
21,2015,889941.82,57212.42,6904241,0.128897849886758,0.00828656183931007
21,2016,928346.35,35476.36,6954036,0.13349748980304388,0.0051015496612327
21,2017,955006.37,25618.07,7000229,0.13642501838154153,0.0036596045643649657
21,2018,943358.35,37299.22,7035055,0.13409395520006595,0.005301908798154386
21,2019,949378.15,47002.09,7075181,0.13418429153967934,0.006643234992857426
21,2020,926654.67,39181.08,7114598,0.1302469471922377,0.005507138983818903
21,2021,961286.85,53908.94,7153262,0.13438440392648837,0.007536273660883664
21,2022,1003775.94,42153.84,7153262,0.14032422410922457,0.005892953452564718
21,2023,1077536.98,42065.08,7153262,0.15063574911697628,0.005880545127523639
22,2006,195720.65,14037.54,3036290,0.06446045996923877,0.004623254036999101
22,2007,213323.77,19439.83,3074086,0.06939421018149784,0.0063237755872802524
22,2008,246146.29,28274.62,3111881,0.07909887621024068,0.009086022248280059
22,2009,279290.04,33108.09,3145325,0.08879528824525287,0.010526126870832106
22,2010,345390.95,19251.82,3142826,0.10989820944589361,0.00612563979043065
22,2011,373985.9,13860.12,3140328,0.11909134969340783,0.004413589917995828
22,2012,454910.23,15980.71,3160748,0.1439248652534147,0.005055989911248856
22,2013,500001.49,17938.35,3184166,0.15702745711121843,0.005633610182383707
22,2014,569210.19,21837.99,3194718,0.17817227999466617,0.0068356549779980584
22,2015,579918.42,38396.91,3204028,0.180996676683225,0.011983949578468104
22,2016,596027.06,35913.72,3212180,0.18555219819561794,0.011180481791182313
22,2017,607778.96,37183.78,3219257,0.18879479333274726,0.011550422970269226
22,2018,557661.83,72283.06,3264531,0.17082448596750957,0.022141943207155942
22,2019,560883.72,91343.81,3273227,0.17135497171445793,0.02790634746688818
22,2020,519740.88,71251.61,3281480,0.15838611845874423,0.021713254385216426
22,2021,535982.11,84391.58,3289290,0.1629476604373588,0.02565647297745106
22,2022,552387.27,76858.59,3289290,0.16793510757640706,0.023366316135092983
22,2023,621774.47,59753.6,3289290,0.18902999431488254,0.01816610879551514
23,2006,530568.08,66099.39,8217085,0.06456889273994366,0.008044140957529342
23,2007,552584.76,107878.08,8333806,0.06630641030040776,0.012944635380281231
23,2008,615539.66,152940.75,8450528,0.07284037873136448,0.01809836616126235
23,2009,665907.71,174591.73,8547809,0.07790390613547869,0.020425319517551225
23,2010,820165.03,157505.96,8538982,0.09604950918036834,0.018445519618146517
23,2011,943328.05,113605.2,8530155,0.11058744536295062,0.013318069835776724
23,2012,1120767.7,93417.91,8606005,0.13023089110452526,0.010854968129811684
23,2013,1216335.29,97864.95,8778576,0.1385572432248693,0.011148157742212403
23,2014,1348677.04,109934.44,8842791,0.1525171227048112,0.012432097513104177
23,2015,1331394.41,172587.82,8904459,0.14951996634495143,0.019382179198084916
23,2016,1372176.49,143299.5,8963663,0.15308211497911067,0.015986712128735762
23,2017,1381639.09,122849.55,9020460,0.15316725421985133,0.013618989497209678
23,2018,1329769.11,169711.04,9075649,0.14652055296541328,0.018699603741837087
23,2019,1385259.81,166507.5,9132078,0.15169163141182107,0.01823325424947093
23,2020,1278277.44,144948.24,9187103,0.13913825065420513,0.01577736093739234
23,2021,1326330.25,136555.46,9240580,0.14353322518716358,0.014777801826292288
23,2022,1430938.9,117807.51,9240580,0.15485379705602895,0.012748930261953253
23,2023,1526127.76,147080.22,9240580,0.1651549751206093,0.015916773622434956
24,2006,266639.72,33372.57,3043760,0.08760208426419953,0.010964258022971587
24,2007,272333.34,67384.43,3075098,0.08856086537729856,0.02191293740882404
24,2008,304051.81,94711.93,3106436,0.09787802162993219,0.030488936517604096
24,2009,334293.33,98373.7,3137541,0.10654628258244275,0.03135375760826711
24,2010,403549.73,79156.04,3168099,0.12737914124527042,0.02498534294540669
24,2011,484517.1,55271.14,3198657,0.1514751659837238,0.0172794832331194
24,2012,561903.62,46051.01,3228198,0.17406107679888283,0.014265237138490266
24,2013,605600.69,48016.98,3373959,0.17949260497830588,0.014231643004553405
24,2014,652345.85,42656.94,3408510,0.19138739507878808,0.01251483492787171
